;;;;
;;Solicitação de dados de empregos e empresas do setorde metalurgia, mecânica e material elétrico da região de Chapecó;;
;;Fonte dos dados: RAIS (2019);;
;;Demandante: Cleodete - Simec;;
;;Execução: Observatório Fiesc;;
;;Data: 27/01/2021;;
Município;Setor;Escolaridade;Empregados;
Abelardo Luz;INDÚSTRIA;Superior Completo;1;
Abelardo Luz;INDÚSTRIA;Superior Completo;95;
Abelardo Luz;INDÚSTRIA;Superior Completo;2;
Abelardo Luz;INDÚSTRIA;Superior Completo;2;
Abelardo Luz;INDÚSTRIA;Superior Completo;5;
Abelardo Luz;COMÉRCIO;Superior Completo;64;
Abelardo Luz;TRANSPORTE;Superior Completo;5;
Abelardo Luz;SERVIÇOS;Superior Completo;1;
Abelardo Luz;SERVIÇOS;Superior Completo;6;
Abelardo Luz;SERVIÇOS;Superior Completo;76;
Abelardo Luz;SERVIÇOS;Superior Completo;3;
Abelardo Luz;SERVIÇOS;Superior Completo;27;
Abelardo Luz;SERVIÇOS;Superior Completo;3;
Abelardo Luz;SERVIÇOS;Superior Completo;260;
Abelardo Luz;SERVIÇOS;Superior Completo;11;
Abelardo Luz;SERVIÇOS;Superior Completo;25;
Abelardo Luz;SERVIÇOS;Superior Completo;2;
Abelardo Luz;SERVIÇOS;Superior Completo;9;
Abelardo Luz;AGROPECUÁRIA;Superior Incompleto;7;
Abelardo Luz;INDÚSTRIA;Superior Incompleto;1;
Abelardo Luz;INDÚSTRIA;Superior Incompleto;36;
Abelardo Luz;INDÚSTRIA;Superior Incompleto;1;
Abelardo Luz;INDÚSTRIA;Superior Incompleto;2;
Abelardo Luz;COMÉRCIO;Superior Incompleto;44;
Abelardo Luz;TRANSPORTE;Superior Incompleto;4;
Abelardo Luz;SERVIÇOS;Superior Incompleto;3;
Abelardo Luz;SERVIÇOS;Superior Incompleto;5;
Abelardo Luz;SERVIÇOS;Superior Incompleto;18;
Abelardo Luz;SERVIÇOS;Superior Incompleto;10;
Abelardo Luz;SERVIÇOS;Superior Incompleto;13;
Abelardo Luz;SERVIÇOS;Superior Incompleto;3;
Abelardo Luz;SERVIÇOS;Superior Incompleto;1;
Abelardo Luz;SERVIÇOS;Superior Incompleto;5;
Agrolândia;INDÚSTRIA;Analfabeto;6;
Agrolândia;AGROPECUÁRIA;Fundamental completo;7;
Agrolândia;INDÚSTRIA;Fundamental completo;372;
Agrolândia;INDÚSTRIA;Fundamental completo;1;
Agrolândia;COMÉRCIO;Fundamental completo;37;
Agrolândia;TRANSPORTE;Fundamental completo;8;
Agrolândia;SERVIÇOS;Fundamental completo;8;
Agrolândia;SERVIÇOS;Fundamental completo;1;
Agrolândia;SERVIÇOS;Fundamental completo;1;
Agrolândia;SERVIÇOS;Fundamental completo;26;
Agrolândia;SERVIÇOS;Fundamental completo;3;
