"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Lindóia do Sul";"F";-1;0
"Lindóia do Sul";"G";2;-4
"Lindóia do Sul";"H";2;-2
"Lindóia do Sul";"M";-1;NA
"Lindóia do Sul";"N";-2;NA
"Lindóia do Sul";"S";NA;1
"Lontras";"A";NA;-1
"Lontras";"B";2;NA
"Lontras";"C";-57;31
"Lontras";"F";-3;-22
"Lontras";"G";-1;13
"Lontras";"H";0;9
"Lontras";"I";1;3
"Lontras";"K";-1;-1
"Lontras";"L";NA;2
"Lontras";"M";3;0
"Lontras";"N";3;3
"Lontras";"P";-1;3
"Lontras";"Q";1;1
"Luiz Alves";"A";1;0
"Luiz Alves";"C";-161;102
"Luiz Alves";"F";2;0
"Luiz Alves";"G";1;8
"Luiz Alves";"H";0;12
"Luiz Alves";"I";0;5
"Luiz Alves";"J";NA;2
"Luiz Alves";"K";-1;NA
"Luiz Alves";"M";-1;0
"Luiz Alves";"N";-2;-3
"Luiz Alves";"O";-71;85
"Luiz Alves";"P";-1;-1
"Luiz Alves";"Q";-1;-2
"Luiz Alves";"R";-1;3
"Luiz Alves";"S";0;2
"Luzerna";"A";1;1
"Luzerna";"C";-24;10
"Luzerna";"F";1;3
"Luzerna";"G";1;-3
"Luzerna";"H";1;-4
"Luzerna";"I";-1;1
"Luzerna";"J";1;-1
"Luzerna";"K";NA;-1
"Luzerna";"N";3;2
"Luzerna";"P";-2;0
"Luzerna";"Q";-2;5
"Luzerna";"S";NA;-1
"Macieira";"A";4;-3
"Macieira";"C";-2;0
"Macieira";"H";NA;-1
"Macieira";"M";-1;NA
"Mafra";"A";9;-35
"Mafra";"B";-2;NA
"Mafra";"C";-15;161
"Mafra";"D";-1;5
"Mafra";"E";0;0
"Mafra";"F";-11;-4
"Mafra";"G";12;-6
"Mafra";"H";-15;-2
"Mafra";"I";13;13
"Mafra";"J";6;2
"Mafra";"K";0;7
"Mafra";"L";-1;1
"Mafra";"M";2;9
"Mafra";"N";-1;-5
"Mafra";"O";-116;166
"Mafra";"P";-25;8
"Mafra";"Q";16;-2
"Mafra";"R";-3;1
"Mafra";"S";-1;3
"Major Gercino";"A";-1;3
"Major Gercino";"C";1;0
"Major Gercino";"F";-2;9
"Major Gercino";"G";-1;2
"Major Gercino";"O";NA;2
"Major Gercino";"Q";NA;-1
"Major Gercino";"S";NA;0
"Major Vieira";"A";-5;NA
"Major Vieira";"C";-9;2
"Major Vieira";"G";2;2
"Major Vieira";"I";0;1
"Major Vieira";"J";1;-1
"Major Vieira";"Q";-1;NA
"Major Vieira";"S";-1;1
"Maracajá";"B";1;2
"Maracajá";"C";-24;10
"Maracajá";"E";NA;1
"Maracajá";"F";-5;1
"Maracajá";"G";5;7
"Maracajá";"H";6;8
"Maracajá";"I";0;3
"Maracajá";"M";3;1
"Maracajá";"N";6;5
"Maracajá";"P";NA;1
"Maracajá";"Q";1;1
"Maracajá";"S";NA;-1
"Maravilha";"A";2;-1
"Maravilha";"C";-45;84
"Maravilha";"E";0;6
"Maravilha";"F";-16;-15
"Maravilha";"G";-11;37
"Maravilha";"H";11;7
"Maravilha";"I";2;8
"Maravilha";"J";1;-4
"Maravilha";"K";1;0
"Maravilha";"L";-1;NA
"Maravilha";"M";-3;15
"Maravilha";"N";1;4
"Maravilha";"P";-7;-2
"Maravilha";"Q";1;10
"Maravilha";"R";NA;2
"Maravilha";"S";-1;4
"Maravilha";"T";NA;2
"Marema";"C";-1;1
"Marema";"G";-1;0
"Marema";"M";-1;NA
"Massaranduba";"A";3;0
"Massaranduba";"C";-57;92
"Massaranduba";"F";NA;2
"Massaranduba";"G";-26;11
"Massaranduba";"H";-2;-2
"Massaranduba";"I";4;0
"Massaranduba";"J";-5;1
"Massaranduba";"M";-3;-2
"Massaranduba";"N";NA;1
"Massaranduba";"P";-1;0
"Massaranduba";"Q";1;-3
"Massaranduba";"S";-2;-1
"Matos Costa";"A";-2;-5
"Matos Costa";"C";1;3
"Matos Costa";"G";-1;0
"Matos Costa";"H";NA;1
"Matos Costa";"N";NA;2
"Meleiro";"C";-6;2
"Meleiro";"F";NA;2
"Meleiro";"G";1;0
"Meleiro";"H";10;-5
"Meleiro";"I";1;0
"Meleiro";"J";0;NA
"Meleiro";"L";NA;-1
"Meleiro";"M";NA;-2
"Meleiro";"N";-2;-2
"Meleiro";"P";1;NA
"Meleiro";"Q";0;NA
"Meleiro";"R";NA;1
"Meleiro";"S";-1;1
"Mirim Doce";"A";-2;1
"Mirim Doce";"C";-8;-2
"Mirim Doce";"G";1;-3
"Mirim Doce";"K";1;NA
"Mirim Doce";"O";-4;NA
"Modelo";"A";NA;-2
"Modelo";"C";-17;13
"Modelo";"E";NA;1
"Modelo";"F";-1;-1
"Modelo";"G";-1;2
"Modelo";"H";0;1
"Modelo";"I";-1;NA
"Modelo";"M";-2;0
"Modelo";"N";-1;NA
"Modelo";"P";0;1
"Modelo";"Q";0;1
"Modelo";"S";1;NA
"Mondaí";"A";2;-1
"Mondaí";"B";NA;0
"Mondaí";"C";-64;10
"Mondaí";"F";-3;0
"Mondaí";"G";5;3
"Mondaí";"H";1;0
"Mondaí";"I";-1;2
"Mondaí";"J";NA;-1
"Mondaí";"K";1;NA
"Mondaí";"M";NA;2
"Mondaí";"N";-1;NA
"Mondaí";"Q";0;3
"Mondaí";"S";NA;-2
"Monte Carlo";"A";-62;-139
"Monte Carlo";"C";-8;6
"Monte Carlo";"F";1;3
"Monte Carlo";"G";-6;6
"Monte Carlo";"H";-4;1
"Monte Carlo";"I";-2;NA
"Monte Carlo";"M";2;1
"Monte Carlo";"N";-2;6
"Monte Carlo";"Q";NA;1
"Monte Carlo";"S";NA;3
"Monte Castelo";"A";-2;-10
"Monte Castelo";"C";9;1
"Monte Castelo";"F";4;-2
"Monte Castelo";"G";-2;-9
"Monte Castelo";"H";2;-1
"Monte Castelo";"I";0;1
"Monte Castelo";"M";-1;NA
"Monte Castelo";"N";-2;-2
"Monte Castelo";"Q";-1;NA
"Monte Castelo";"S";NA;2
"Morro da Fumaça";"B";3;6
"Morro da Fumaça";"C";-35;78
"Morro da Fumaça";"D";-1;0
"Morro da Fumaça";"F";3;0
"Morro da Fumaça";"G";16;28
"Morro da Fumaça";"H";-1;9
"Morro da Fumaça";"I";0;5
"Morro da Fumaça";"K";NA;1
"Morro da Fumaça";"L";1;2
"Morro da Fumaça";"M";-1;1
"Morro da Fumaça";"N";4;0
"Morro da Fumaça";"P";-17;18
"Morro da Fumaça";"Q";4;2
"Morro da Fumaça";"R";-1;5
"Morro da Fumaça";"S";-2;-3
"Morro Grande";"C";2;5
"Morro Grande";"G";0;-4
"Morro Grande";"H";0;-1
"Navegantes";"A";2;1
"Navegantes";"B";-1;1
"Navegantes";"C";-144;-73
"Navegantes";"E";7;-4
"Navegantes";"F";-20;27
"Navegantes";"G";120;15
"Navegantes";"H";-19;12
"Navegantes";"I";21;20
"Navegantes";"J";4;-2
"Navegantes";"K";0;5
"Navegantes";"L";0;4
"Navegantes";"M";9;8
"Navegantes";"N";54;16
"Navegantes";"P";-3;10
"Navegantes";"Q";6;8
"Navegantes";"R";-1;2
"Navegantes";"S";2;8
"Nova Erechim";"A";0;3
"Nova Erechim";"C";-17;26
"Nova Erechim";"F";-2;-6
"Nova Erechim";"G";1;1
"Nova Erechim";"H";1;0
"Nova Erechim";"I";-2;0
"Nova Erechim";"L";NA;1
"Nova Erechim";"Q";2;3
"Nova Erechim";"R";NA;1
"Nova Erechim";"S";NA;1
"Nova Itaberaba";"C";-1;9
"Nova Itaberaba";"F";-10;-2
"Nova Itaberaba";"G";1;0
"Nova Itaberaba";"H";1;NA
"Nova Itaberaba";"I";NA;1
"Nova Itaberaba";"M";NA;0
"Nova Itaberaba";"Q";NA;1
"Nova Trento";"A";NA;1
"Nova Trento";"C";-63;93
"Nova Trento";"E";4;5
"Nova Trento";"F";-83;130
"Nova Trento";"G";-7;19
"Nova Trento";"H";-2;0
"Nova Trento";"I";2;0
"Nova Trento";"J";-4;NA
"Nova Trento";"K";-2;-1
"Nova Trento";"M";NA;3
"Nova Trento";"N";1;NA
"Nova Trento";"P";-3;1
"Nova Trento";"Q";-2;-1
"Nova Trento";"R";-1;1
"Nova Trento";"S";-2;3
"Nova Veneza";"A";-1;NA
"Nova Veneza";"B";1;-4
"Nova Veneza";"C";-32;101
"Nova Veneza";"F";0;-3
"Nova Veneza";"G";-1;9
"Nova Veneza";"H";-1;1
"Nova Veneza";"I";-1;9
"Nova Veneza";"J";1;2
"Nova Veneza";"M";7;NA
"Nova Veneza";"N";0;11
"Nova Veneza";"P";NA;1
"Nova Veneza";"Q";-9;0
"Nova Veneza";"S";-1;5
"Novo Horizonte";"C";-1;3
"Novo Horizonte";"G";0;1
"Novo Horizonte";"J";NA;1
"Orleans";"A";-1;NA
"Orleans";"B";-2;1
"Orleans";"C";-23;54
"Orleans";"E";2;3
"Orleans";"F";9;7
"Orleans";"G";3;8
"Orleans";"H";6;0
"Orleans";"I";-6;2
"Orleans";"J";1;3
"Orleans";"M";0;3
"Orleans";"N";1;3
"Orleans";"P";-19;9
"Orleans";"Q";0;10
"Orleans";"R";5;1
"Orleans";"S";1;1
"Otacílio Costa";"A";-4;2
"Otacílio Costa";"C";-65;90
"Otacílio Costa";"E";2;1
"Otacílio Costa";"F";-10;-2
"Otacílio Costa";"G";-6;13
"Otacílio Costa";"H";-8;0
"Otacílio Costa";"I";0;4
"Otacílio Costa";"J";NA;-1
"Otacílio Costa";"L";NA;1
"Otacílio Costa";"M";0;1
"Otacílio Costa";"N";7;1
"Otacílio Costa";"P";0;-1
"Otacílio Costa";"Q";-3;7
"Otacílio Costa";"R";1;-1
"Otacílio Costa";"S";-1;NA
"Ouro";"C";-3;3
"Ouro";"F";-2;2
"Ouro";"G";2;20
"Ouro";"H";-1;4
"Ouro";"I";-1;-3
"Ouro";"K";0;0
"Ouro";"N";2;NA
"Ouro";"O";-41;48
"Ouro";"P";NA;-1
"Ouro";"R";1;NA
"Ouro";"S";NA;1
"Ouro Verde";"A";3;-3
"Ouro Verde";"G";1;-1
"Ouro Verde";"N";-1;NA
"Paial";"C";1;5
"Paial";"F";1;-1
"Paial";"G";-3;3
"Paial";"N";1;NA
"Paial";"S";NA;1
"Painel";"A";-1;-17
"Painel";"G";NA;-1
"Painel";"I";NA;1
"Palhoça";"A";NA;-1
"Palhoça";"B";-7;12
"Palhoça";"C";-7;159
"Palhoça";"E";-5;-1
"Palhoça";"F";-137;106
"Palhoça";"G";305;-9
"Palhoça";"H";-37;68
"Palhoça";"I";86;29
"Palhoça";"J";1;1
"Palhoça";"K";7;9
"Palhoça";"L";5;2
"Palhoça";"M";-11;9
"Palhoça";"N";122;140
"Palhoça";"P";-34;115
"Palhoça";"Q";0;8
"Palhoça";"R";-13;6
"Palhoça";"S";0;13
"Palma Sola";"A";3;0
"Palma Sola";"B";1;NA
"Palma Sola";"C";-24;6
"Palma Sola";"D";0;-1
"Palma Sola";"G";0;0
"Palma Sola";"H";-1;0
"Palma Sola";"I";-1;-1
"Palma Sola";"J";NA;1
"Palma Sola";"K";1;NA
"Palma Sola";"M";-1;NA
"Palma Sola";"N";3;NA
"Palma Sola";"Q";-1;0
"Palma Sola";"S";NA;1
"Palmeira";"B";0;NA
"Palmeira";"C";-5;-3
"Palmeira";"G";5;7
"Palmeira";"H";-1;3
"Palmeira";"I";NA;1
"Palmitos";"C";-16;3
"Palmitos";"E";1;NA
"Palmitos";"F";-6;-1
"Palmitos";"G";6;16
"Palmitos";"H";6;31
"Palmitos";"I";0;2
"Palmitos";"J";-18;0
"Palmitos";"K";3;1
"Palmitos";"M";-1;2
"Palmitos";"N";2;0
"Palmitos";"O";NA;-1
"Palmitos";"P";-2;0
"Palmitos";"Q";1;0
"Palmitos";"S";0;2
"Papanduva";"A";4;0
"Papanduva";"B";-1;1
"Papanduva";"C";-23;4
"Papanduva";"E";-9;-1
"Papanduva";"F";3;-9
"Papanduva";"G";15;8
"Papanduva";"H";-4;4
"Papanduva";"I";3;-4
"Papanduva";"J";-1;NA
"Papanduva";"K";1;8
"Papanduva";"M";-1;0
"Papanduva";"N";1;2
"Papanduva";"O";NA;1
"Papanduva";"P";NA;2
"Papanduva";"Q";3;-2
"Papanduva";"S";-8;-4
"Paraíso";"A";NA;1
"Paraíso";"C";4;5
"Paraíso";"D";NA;1
"Paraíso";"F";NA;1
"Paraíso";"G";0;10
"Paraíso";"H";-1;-1
"Paraíso";"M";-1;-1
"Passo de Torres";"C";6;-2
"Passo de Torres";"E";1;NA
"Passo de Torres";"F";5;6
"Passo de Torres";"G";38;7
"Passo de Torres";"H";2;-1
"Passo de Torres";"I";2;4
"Passo de Torres";"K";NA;1
"Passo de Torres";"L";NA;1
"Passo de Torres";"M";-2;2
"Passo de Torres";"N";7;1
"Passo de Torres";"P";NA;1
"Passo de Torres";"Q";NA;0
"Passo de Torres";"R";NA;-1
"Passo de Torres";"S";-1;0
"Passos Maia";"A";-1;-2
"Passos Maia";"C";0;-8
"Passos Maia";"F";-1;NA
"Passos Maia";"G";-7;-5
"Passos Maia";"J";-1;NA
"Passos Maia";"K";-4;2
"Passos Maia";"M";NA;1
"Paulo Lopes";"B";-1;2
"Paulo Lopes";"C";7;0
"Paulo Lopes";"D";-2;1
"Paulo Lopes";"F";-5;4
"Paulo Lopes";"G";12;-3
"Paulo Lopes";"H";1;4
"Paulo Lopes";"I";7;4
"Paulo Lopes";"J";4;4
"Paulo Lopes";"K";NA;0
"Paulo Lopes";"M";-1;1
"Paulo Lopes";"N";1;12
"Pedras Grandes";"A";-2;2
"Pedras Grandes";"B";1;1
"Pedras Grandes";"C";-1;-10
"Pedras Grandes";"E";2;2
"Pedras Grandes";"F";NA;-3
"Pedras Grandes";"G";3;3
"Pedras Grandes";"H";0;1
"Pedras Grandes";"I";NA;1
"Pedras Grandes";"K";-1;NA
"Penha";"C";-24;30
"Penha";"E";9;-4
"Penha";"F";-8;24
"Penha";"G";35;-1
"Penha";"H";3;29
"Penha";"I";77;16
"Penha";"K";NA;-1
"Penha";"L";-3;1
"Penha";"M";3;1
"Penha";"N";17;3
"Penha";"P";NA;0
"Penha";"Q";2;0
"Penha";"R";3;0
"Penha";"S";-1;-2
"Peritiba";"C";0;5
"Peritiba";"F";NA;-1
"Peritiba";"G";-3;-5
"Peritiba";"H";-1;3
"Peritiba";"J";-1;2
"Peritiba";"M";0;1
"Peritiba";"N";0;NA
"Pescaria Brava";"C";1;-2
"Pescaria Brava";"E";0;0
"Pescaria Brava";"F";-1;1
"Pescaria Brava";"G";6;12
"Pescaria Brava";"H";-2;4
"Pescaria Brava";"I";-1;NA
"Pescaria Brava";"L";NA;-1
"Pescaria Brava";"M";NA;-1
"Pescaria Brava";"N";1;0
"Pescaria Brava";"P";1;-1
"Petrolândia";"A";1;2
"Petrolândia";"C";0;17
"Petrolândia";"E";0;2
"Petrolândia";"F";NA;4
"Petrolândia";"G";0;-5
"Petrolândia";"H";0;2
"Petrolândia";"I";-1;1
"Petrolândia";"Q";-1;-1
"Pinhalzinho";"A";1;0
"Pinhalzinho";"B";NA;-2
"Pinhalzinho";"C";-85;59
"Pinhalzinho";"F";-4;0
"Pinhalzinho";"G";11;9
"Pinhalzinho";"H";11;15
"Pinhalzinho";"I";-1;6
"Pinhalzinho";"J";-2;2
"Pinhalzinho";"K";-2;3
"Pinhalzinho";"L";1;1
"Pinhalzinho";"M";-1;7
"Pinhalzinho";"N";-3;2
"Pinhalzinho";"P";-15;11
"Pinhalzinho";"Q";-1;-2
"Pinhalzinho";"R";3;0
"Pinhalzinho";"S";0;1
"Pinheiro Preto";"A";-1;-1
"Pinheiro Preto";"C";-31;-6
"Pinheiro Preto";"F";NA;-1
"Pinheiro Preto";"G";1;0
"Pinheiro Preto";"H";-2;13
"Pinheiro Preto";"K";-1;2
"Pinheiro Preto";"N";NA;5
"Piratuba";"C";3;1
"Piratuba";"E";3;NA
"Piratuba";"F";0;-1
"Piratuba";"G";7;3
"Piratuba";"H";2;-1
"Piratuba";"I";14;-9
"Piratuba";"J";1;NA
"Piratuba";"M";3;2
"Piratuba";"Q";NA;-1
"Piratuba";"S";-1;-1
"Planalto Alegre";"A";2;NA
"Planalto Alegre";"C";-5;11
"Planalto Alegre";"F";-4;-1
"Planalto Alegre";"G";-1;1
"Planalto Alegre";"H";0;-1
"Planalto Alegre";"M";1;NA
"Planalto Alegre";"N";0;NA
"Planalto Alegre";"Q";NA;1
"Pomerode";"A";NA;1
"Pomerode";"B";-1;2
"Pomerode";"C";-224;183
"Pomerode";"E";NA;-1
"Pomerode";"F";-7;2
"Pomerode";"G";-4;32
"Pomerode";"H";3;7
"Pomerode";"I";9;12
"Pomerode";"J";NA;4
"Pomerode";"K";NA;1
"Pomerode";"M";-2;2
"Pomerode";"N";0;3
"Pomerode";"P";-2;2
"Pomerode";"Q";-4;3
"Pomerode";"R";NA;-1
"Pomerode";"S";-1;1
"Ponte Alta";"A";1;-2
"Ponte Alta";"B";-1;0
"Ponte Alta";"C";10;-1
"Ponte Alta";"G";2;7
"Ponte Alta";"H";NA;1
"Ponte Alta";"I";-1;1
"Ponte Alta";"N";NA;1
"Ponte Alta";"P";NA;0
"Ponte Alta";"S";NA;1
"Ponte Alta do Norte";"A";2;-2
"Ponte Alta do Norte";"C";-3;16
"Ponte Alta do Norte";"G";-1;-1
"Ponte Alta do Norte";"H";-1;1
"Ponte Alta do Norte";"I";-1;NA
"Ponte Alta do Norte";"Q";-1;NA
"Ponte Serrada";"A";4;12
"Ponte Serrada";"C";-1;0
"Ponte Serrada";"D";NA;1
"Ponte Serrada";"F";-2;-1
"Ponte Serrada";"G";15;10
"Ponte Serrada";"H";8;4
"Ponte Serrada";"I";0;8
"Ponte Serrada";"J";-2;-1
"Ponte Serrada";"M";1;3
"Ponte Serrada";"N";NA;-2
"Ponte Serrada";"Q";3;1
"Ponte Serrada";"R";-1;NA
"Ponte Serrada";"S";1;1
"Porto Belo";"A";NA;18
"Porto Belo";"C";-4;6
"Porto Belo";"E";1;4
"Porto Belo";"F";-3;46
"Porto Belo";"G";155;-36
"Porto Belo";"H";27;-14
"Porto Belo";"I";52;-5
"Porto Belo";"J";1;2
"Porto Belo";"K";1;1
"Porto Belo";"L";0;-2
"Porto Belo";"M";NA;1
"Porto Belo";"N";11;15
"Porto Belo";"P";-16;27
"Porto Belo";"Q";1;1
"Porto Belo";"R";4;1
"Porto Belo";"S";2;0
"Porto União";"A";-1;3
"Porto União";"B";2;1
"Porto União";"C";-27;62
"Porto União";"F";-12;-6
"Porto União";"G";32;-12
"Porto União";"H";-2;11
"Porto União";"I";3;12
"Porto União";"J";1;-5
"Porto União";"K";1;1
"Porto União";"M";-1;-3
"Porto União";"N";32;-13
"Porto União";"O";NA;0
"Porto União";"P";-3;10
"Porto União";"Q";-1;4
"Porto União";"R";-1;1
"Porto União";"S";1;-1
"Pouso Redondo";"A";2;-2
"Pouso Redondo";"B";NA;1
"Pouso Redondo";"C";-66;53
"Pouso Redondo";"F";-11;-2
"Pouso Redondo";"G";5;16
"Pouso Redondo";"H";-8;1
"Pouso Redondo";"I";1;2
"Pouso Redondo";"J";1;NA
"Pouso Redondo";"K";NA;2
"Pouso Redondo";"M";-2;1
"Pouso Redondo";"N";NA;3
"Pouso Redondo";"P";-2;NA
"Pouso Redondo";"Q";2;-3
"Pouso Redondo";"S";-1;1
"Praia Grande";"C";11;23
"Praia Grande";"D";-3;-1
"Praia Grande";"F";NA;-1
"Praia Grande";"G";12;11
"Praia Grande";"H";NA;1
"Praia Grande";"I";4;2
"Praia Grande";"J";NA;1
"Praia Grande";"N";-1;-1
"Praia Grande";"P";NA;1
"Praia Grande";"Q";0;3
"Praia Grande";"S";NA;2
"Presidente Castello Branco";"A";NA;-3
"Presidente Castello Branco";"G";-2;0
"Presidente Castello Branco";"H";-3;2
"Presidente Castello Branco";"I";NA;2
"Presidente Castello Branco";"N";3;1
"Presidente Getúlio";"A";-1;NA
"Presidente Getúlio";"C";-131;95
"Presidente Getúlio";"F";-1;3
"Presidente Getúlio";"G";-7;13
"Presidente Getúlio";"H";-3;-3
"Presidente Getúlio";"I";-8;7
"Presidente Getúlio";"J";-3;0
"Presidente Getúlio";"K";1;-2
"Presidente Getúlio";"L";-2;1
"Presidente Getúlio";"M";-4;0
"Presidente Getúlio";"N";-1;2
"Presidente Getúlio";"P";4;-3
"Presidente Getúlio";"Q";NA;2
"Presidente Getúlio";"R";-1;NA
"Presidente Getúlio";"S";-1;-2
"Presidente Nereu";"A";-2;NA
"Presidente Nereu";"C";-5;1
"Presidente Nereu";"G";0;NA
"Princesa";"A";NA;0
"Princesa";"C";-15;10
"Princesa";"D";1;NA
"Princesa";"G";2;0
"Princesa";"H";0;1
"Princesa";"J";NA;1
"Princesa";"S";NA;1
"Quilombo";"A";0;-3
"Quilombo";"C";16;5
"Quilombo";"F";0;-4
"Quilombo";"G";1;2
"Quilombo";"H";4;5
"Quilombo";"I";-2;NA
"Quilombo";"J";NA;-1
"Quilombo";"K";0;NA
"Quilombo";"L";NA;0
"Quilombo";"M";-1;3
"Quilombo";"N";-1;-2
"Quilombo";"Q";2;5
"Quilombo";"S";1;1
"Rancho Queimado";"C";-1;-1
"Rancho Queimado";"F";NA;1
"Rancho Queimado";"G";-1;2
"Rancho Queimado";"H";0;0
"Rancho Queimado";"I";-2;1
"Rancho Queimado";"N";NA;-1
"Rancho Queimado";"P";-1;1
"Rancho Queimado";"S";-1;NA
"Rio das Antas";"A";-1;-2
"Rio das Antas";"C";1;9
"Rio das Antas";"E";-2;-5
"Rio das Antas";"F";-1;-1
"Rio das Antas";"G";-2;1
"Rio das Antas";"H";NA;-1
"Rio das Antas";"I";NA;1
"Rio das Antas";"K";1;NA
"Rio das Antas";"Q";NA;1
"Rio do Campo";"A";-2;3
"Rio do Campo";"C";-10;9
"Rio do Campo";"F";-1;3
"Rio do Campo";"G";-5;4
"Rio do Campo";"H";NA;-1
"Rio do Campo";"I";0;NA
"Rio do Campo";"N";0;-1
"Rio do Campo";"O";NA;0
"Rio do Campo";"P";NA;-1
"Rio do Campo";"Q";0;NA
"Rio do Campo";"R";1;NA
"Rio do Campo";"S";1;0
"Rio do Oeste";"A";-2;1
"Rio do Oeste";"C";-14;29
"Rio do Oeste";"E";-6;-3
"Rio do Oeste";"F";2;1
"Rio do Oeste";"G";2;3
"Rio do Oeste";"H";NA;0
"Rio do Oeste";"I";1;1
"Rio do Oeste";"K";NA;1
"Rio do Oeste";"L";NA;-1
"Rio do Oeste";"M";NA;0
"Rio do Oeste";"N";2;8
"Rio do Oeste";"Q";0;-1
"Rio do Oeste";"S";1;NA
"Rio do Sul";"A";NA;-1
"Rio do Sul";"C";-133;138
"Rio do Sul";"D";-1;1
"Rio do Sul";"E";NA;5
"Rio do Sul";"F";-19;26
"Rio do Sul";"G";-29;45
"Rio do Sul";"H";-5;14
"Rio do Sul";"I";-23;34
"Rio do Sul";"J";11;26
"Rio do Sul";"K";7;5
"Rio do Sul";"L";NA;0
"Rio do Sul";"M";-19;-5
"Rio do Sul";"N";8;15
"Rio do Sul";"O";NA;1
"Rio do Sul";"P";-26;99
"Rio do Sul";"Q";-3;22
"Rio do Sul";"R";-4;-4
"Rio do Sul";"S";-18;16
"Rio dos Cedros";"A";-1;NA
"Rio dos Cedros";"C";-107;25
"Rio dos Cedros";"E";NA;1
"Rio dos Cedros";"F";-11;-5
"Rio dos Cedros";"G";-1;1
"Rio dos Cedros";"H";-2;3
"Rio dos Cedros";"I";-1;2
"Rio dos Cedros";"K";NA;-1
"Rio dos Cedros";"M";4;3
"Rio dos Cedros";"N";NA;3
"Rio dos Cedros";"Q";2;0
"Rio dos Cedros";"R";NA;0
"Rio dos Cedros";"S";1;4
"Rio Fortuna";"C";0;1
"Rio Fortuna";"F";-2;-1
"Rio Fortuna";"G";-5;10
"Rio Fortuna";"H";NA;1
"Rio Fortuna";"I";NA;0
"Rio Fortuna";"K";NA;1
"Rio Fortuna";"M";NA;-1
"Rio Fortuna";"P";NA;-1
"Rio Fortuna";"Q";1;NA
"Rio Fortuna";"S";NA;1
"Rio Negrinho";"A";-18;16
"Rio Negrinho";"C";-117;110
"Rio Negrinho";"E";NA;0
"Rio Negrinho";"F";-5;15
"Rio Negrinho";"G";-18;8
"Rio Negrinho";"H";2;15
"Rio Negrinho";"I";3;7
"Rio Negrinho";"J";0;3
"Rio Negrinho";"K";-2;1
"Rio Negrinho";"L";-2;0
"Rio Negrinho";"M";-7;1
"Rio Negrinho";"N";-47;-1
"Rio Negrinho";"O";-24;-22
"Rio Negrinho";"P";-1;7
"Rio Negrinho";"Q";-1;4
"Rio Negrinho";"S";5;1
"Rio Rufino";"C";-2;3
"Rio Rufino";"G";-2;-2
"Rio Rufino";"I";NA;1
"Rio Rufino";"J";NA;-1
"Rio Rufino";"K";1;NA
"Riqueza";"A";-1;1
"Riqueza";"C";-12;24
"Riqueza";"F";-2;NA
"Riqueza";"G";7;5
"Riqueza";"H";2;1
"Riqueza";"I";NA;2
"Riqueza";"M";-1;1
"Riqueza";"N";-1;-2
"Riqueza";"P";NA;-1
"Riqueza";"Q";1;0
"Riqueza";"S";NA;-1
"Rodeio";"A";NA;-1
"Rodeio";"B";NA;-1
"Rodeio";"C";-38;33
"Rodeio";"E";NA;2
"Rodeio";"F";NA;3
"Rodeio";"G";6;-2
"Rodeio";"H";-1;3
"Rodeio";"I";NA;2
"Rodeio";"M";NA;-1
"Rodeio";"N";NA;-1
"Rodeio";"P";-1;NA
"Rodeio";"Q";-1;NA
"Rodeio";"S";-2;-2
"Romelândia";"A";NA;-1
"Romelândia";"D";NA;3
"Romelândia";"F";-1;4
"Romelândia";"G";-2;0
"Romelândia";"H";0;NA
"Romelândia";"K";NA;-1
"Romelândia";"S";NA;4
"Salete";"A";-1;0
"Salete";"C";-56;26
"Salete";"F";NA;-1
"Salete";"G";1;6
"Salete";"H";-2;5
"Salete";"I";-2;1
"Salete";"M";NA;1
"Salete";"N";NA;2
"Salete";"Q";NA;1
"Salete";"R";-1;NA
"Salete";"S";NA;0
"Saltinho";"A";NA;-1
"Saltinho";"C";-5;16
"Saltinho";"F";NA;-1
"Saltinho";"G";2;2
"Saltinho";"H";NA;1
"Saltinho";"I";NA;1
"Salto Veloso";"A";0;2
"Salto Veloso";"C";-33;29
"Salto Veloso";"F";0;1
"Salto Veloso";"G";3;4
"Salto Veloso";"H";2;1
"Salto Veloso";"I";-1;5
"Salto Veloso";"M";NA;-1
"Salto Veloso";"N";-1;1
"Salto Veloso";"Q";NA;1
"Salto Veloso";"S";NA;-1
"Sangão";"C";-8;68
"Sangão";"E";NA;1
"Sangão";"F";-1;7
"Sangão";"G";7;10
"Sangão";"H";1;10
"Sangão";"I";4;-1
"Sangão";"N";-4;-2
"Sangão";"P";1;-1
"Santa Cecília";"A";-23;-3
"Santa Cecília";"C";-36;-5
"Santa Cecília";"E";-1;NA
"Santa Cecília";"F";-2;-2
"Santa Cecília";"G";-2;12
"Santa Cecília";"H";1;0
"Santa Cecília";"I";0;0
"Santa Cecília";"J";NA;-2
"Santa Cecília";"K";1;NA
"Santa Cecília";"M";-2;4
"Santa Cecília";"N";-4;-2
"Santa Cecília";"P";NA;1
"Santa Cecília";"Q";-2;-2
"Santa Cecília";"R";NA;1
"Santa Cecília";"S";NA;0
"Santa Helena";"C";-9;2
"Santa Helena";"G";3;1
"Santa Helena";"H";NA;-1
"Santa Helena";"I";NA;-1
"Santa Helena";"J";NA;1
"Santa Helena";"M";NA;-7
"Santa Rosa de Lima";"C";2;3
"Santa Rosa de Lima";"G";NA;-1
"Santa Rosa de Lima";"H";NA;-1
