Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018)
Maravilha,R$ 1288638000,50727.7880565288,25403
Marema,R$ 57670000,31240.5200433369,1846
Massaranduba,R$ 548048000,32809.3869731801,16704
Matos Costa,R$ 51803000,20235.546875,2560
Meleiro,R$ 239695000,34105.7199772339,7028
Mirim Doce,R$ 52962000,22672.0890410959,2336
Modelo,R$ 115056000,27394.2857142857,4200
Mondaí,R$ 656580000,56640.7867494824,11592
Monte Carlo,R$ 158881000,16172.740228013,9824
Monte Castelo,R$ 176188000,21278.7439613527,8280
Morro da Fumaça,R$ 642829000,36437.4220609908,17642
Morro Grande,R$ 104794000,36160.8005521049,2898
Navegantes,R$ 3820584000,48187.9800718925,79285
Nova Erechim,R$ 163899000,33144.3882709808,4945
Nova Itaberaba,R$ 107211000,24742.9033002539,4333
Nova Trento,R$ 591685000,41341.8809390721,14312
Nova Veneza,R$ 725540000,48411.2897844799,14987
Novo Horizonte,R$ 91411000,36844.417573559,2481
Orleans,R$ 907252000,39817.9504059688,22785
Otacílio Costa,R$ 755963000,40840.7887628309,18510
Ouro,R$ 166184000,22712.0404537379,7317
Ouro Verde,R$ 87128000,39123.4845083071,2227
Paial,R$ 41074000,26723.4873129473,1537
Painel,R$ 47342000,20034.7016504443,2363
Palhoça,R$ 5489676000,32626.3439102812,168259
Palma Sola,R$ 224913000,30088.6956521739,7475
Palmeira,R$ 102077000,39215.1363810987,2603
Palmitos,R$ 621046000,38378.8159683599,16182
Papanduva,R$ 599305000,31184.5665521907,19218
Paraíso,R$ 101003000,28734.8506401138,3515
Passo de Torres,R$ 164527000,19144.4030719106,8594
Passos Maia,R$ 138417000,33066.6507405638,4186
Paulo Lopes,R$ 190304000,25654.3542733891,7418
Pedras Grandes,R$ 132721000,33180.25,4000
Penha,R$ 743896000,23419.4685807833,31764
Peritiba,R$ 85035000,30218.5501066098,2814
Pescaria Brava,R$ 100329000,10010.8760726402,10022
Petrolândia,R$ 173692000,29089.2647797689,5971
Pinhalzinho,R$ 1122662000,56398.1714056064,19906
Pinheiro Preto,R$ 161559000,45988.8983774552,3513
Piratuba,R$ 615050000,155119.798234552,3965
Planalto Alegre,R$ 94867000,33286.6666666667,2850
Pomerode,R$ 2026616000,61647.98929245,32874
Ponte Alta,R$ 114165000,24218.2859567246,4714
Ponte Alta do Norte,R$ 115306000,33833.9201877934,3408
Ponte Serrada,R$ 226905000,19642.0533240997,11552
Porto Belo,R$ 1177910000,56537.8707881348,20834
Porto União,R$ 755314000,21427.3475177305,35250
Pouso Redondo,R$ 483992000,28157.0772005352,17189
Praia Grande,R$ 160286000,21879.0608790609,7326
Presidente Castello Branco,R$ 45954000,28901.8867924528,1590
Presidente Getúlio,R$ 712052000,41362.3003194888,17215
Presidente Nereu,R$ 52784000,23049.7816593886,2290
Princesa,R$ 71459000,24547.9216763999,2911
Quilombo,R$ 352659000,35457.3697969033,9946
Rancho Queimado,R$ 117584000,40998.6052998605,2868
Rio das Antas,R$ 191048000,30774.4845360825,6208
Rio do Campo,R$ 148569000,24848.4696437531,5979
Rio do Oeste,R$ 185465000,24874.597639485,7456
Rio do Sul,R$ 2719646000,38796.6619115549,70100
Rio dos Cedros,R$ 331820000,28748.916998787,11542
Rio Fortuna,R$ 238298000,51792.6537709194,4601
Rio Negrinho,R$ 1158012000,27502.3037096851,42106
Rio Rufino,R$ 48525000,19550.7655116841,2482
Riqueza,R$ 113274000,24433.5634167386,4636
Rodeio,R$ 285413000,24814.2062250043,11502
Romelândia,R$ 84613000,17303.2719836401,4890
Salete,R$ 197596000,25910.8313663782,7626
Saltinho,R$ 70322000,18466.9117647059,3808
Salto Veloso,R$ 171646000,36676.4957264957,4680
Sangão,R$ 319407000,25663.4260003214,12446
Santa Cecília,R$ 470773000,28120.9605160982,16741
Santa Helena,R$ 70075000,31186.025812194,2247
Santa Rosa de Lima,R$ 50668000,23709.8736546561,2137
Santa Rosa do Sul,R$ 132838000,15931.6382825618,8338
Santa Terezinha,R$ 181328000,20603.1132825815,8801
Santa Terezinha do Progresso,R$ 52365000,21080.9178743961,2484
Santiago do Sul,R$ 33849000,26321.1508553655,1286
Santo Amaro da Imperatriz,R$ 848974000,37065.0076402532,22905
São Bento do Sul,R$ 3198188000,38266.8230113908,83576
São Bernardino,R$ 63726000,26708.2984073764,2386
São Bonifácio,R$ 71441000,24961.9147449336,2862
São Carlos,R$ 424614000,37942.4537574837,11191
São Cristovão do Sul,R$ 158741000,28867.2485906528,5499
São Domingos,R$ 327326000,34612.033414402,9457
São Francisco do Sul,R$ 4142714000,80165.5281846856,51677
São João Batista,R$ 898814000,24798.9736232204,36244
São João do Itaperiú,R$ 170374000,45960.0755327758,3707
São João do Oeste,R$ 221150000,34777.4807359648,6359
São João do Sul,R$ 192693000,26468.8186813187,7280
São Joaquim,R$ 747204000,27919.2915592422,26763
São José,R$ 10607483000,43665.3109781951,242927
São José do Cedro,R$ 409458000,29589.391530568,13838
São José do Cerrito,R$ 249340000,29609.3100581879,8421
São Lourenço do Oeste,R$ 960834000,40274.7202079054,23857
São Ludgero,R$ 636350000,48336.4982909229,13165
São Martinho,R$ 81325000,25501.7246785826,3189
São Miguel da Boa Vista,R$ 36642000,19990.1800327332,1833
São Miguel do Oeste,R$ 1521972000,37963.8812671489,40090
São Pedro de Alcântara,R$ 80863000,14164.126817306,5709
Saudades,R$ 321903000,33257.8778799463,9679
Schroeder,R$ 499670000,24106.0401389425,20728
Seara,R$ 799913000,45693.6478921513,17506
Serra Alta,R$ 81306000,24864.2201834862,3270
Siderópolis,R$ 466717000,33528.5201149425,13920
Sombrio,R$ 785293000,26167.710763079,30010
Sul Brasil,R$ 56386000,22554.4,2500
Taió,R$ 599959000,32781.0621789968,18302
Tangará,R$ 409469000,47114.14106547,8691
Tigrinhos,R$ 42287000,25690.7654921021,1646
Tijucas,R$ 1539749000,40901.8196307611,37645
Timbé do Sul,R$ 128870000,24069.8543145312,5354
Timbó,R$ 1858869000,42748.3442185632,43484
Timbó Grande,R$ 197331000,25259.9846390169,7812
Três Barras,R$ 1113578000,58050.2528280248,19183
Treviso,R$ 204544000,52568.4913903881,3891
Treze de Maio,R$ 147504000,20863.3663366337,7070
Treze Tílias,R$ 613123000,79761.0251073241,7687
Trombudo Central,R$ 254269000,34907.8802855574,7284
Tubarão,R$ 3741552000,35655.2217044512,104937
Tunápolis,R$ 124218000,27234.8169261127,4561
Turvo,R$ 538192000,42026.5500546619,12806
União do Oeste,R$ 59537000,23653.9531187922,2517
Urubici,R$ 250464000,22372.8450200983,11195
Urupema,R$ 54677000,22118.5275080906,2472
Urussanga,R$ 835697000,39438.2727701746,21190
Vargeão,R$ 131916000,36899.5804195804,3575
Vargem,R$ 61414000,24351.3084853291,2522
Vargem Bonita,R$ 392371000,86539.7000441112,4534
Vidal Ramos,R$ 287462000,45291.0036237593,6347
Videira,R$ 2427864000,46236.2216720625,52510
Vitor Meireles,R$ 118551000,23643.996808935,5014
Witmarsum,R$ 129233000,32866.988809766,3932
Xanxerê,R$ 1703710000,33864.914826373,50309
Xavantina,R$ 216185000,54550.8453192026,3963
Xaxim,R$ 947825000,33345.9400506614,28424
Zortéa,R$ 71185000,21389.7235576923,3328
