,Município,COD_SEC,saldo_202012,saldo_202102,vice_presidencia
176,Arabutã,P,1.0,,Alto Uruguai Catarinense
177,Arabutã,S,1.0,1.0,Alto Uruguai Catarinense
178,Araquari,A,-5.0,-2.0,Norte-Nordeste
179,Araquari,B,-3.0,-2.0,Norte-Nordeste
180,Araquari,C,-73.0,219.0,Norte-Nordeste
181,Araquari,E,3.0,6.0,Norte-Nordeste
182,Araquari,F,-76.0,-35.0,Norte-Nordeste
183,Araquari,G,12.0,39.0,Norte-Nordeste
184,Araquari,H,1.0,53.0,Norte-Nordeste
185,Araquari,I,-1.0,-8.0,Norte-Nordeste
186,Araquari,J,-1.0,2.0,Norte-Nordeste
187,Araquari,L,0.0,-1.0,Norte-Nordeste
188,Araquari,M,0.0,3.0,Norte-Nordeste
189,Araquari,N,4.0,33.0,Norte-Nordeste
190,Araquari,P,-2.0,5.0,Norte-Nordeste
191,Araquari,Q,-2.0,5.0,Norte-Nordeste
192,Araquari,R,-1.0,,Norte-Nordeste
193,Araquari,S,-8.0,22.0,Norte-Nordeste
194,Araquari,T,,1.0,Norte-Nordeste
195,Araranguá,A,-3.0,-1.0,Sul
196,Araranguá,B,-2.0,0.0,Sul
197,Araranguá,C,49.0,249.0,Sul
198,Araranguá,E,-1.0,1.0,Sul
199,Araranguá,F,-3.0,15.0,Sul
200,Araranguá,G,54.0,32.0,Sul
201,Araranguá,H,31.0,11.0,Sul
202,Araranguá,I,22.0,13.0,Sul
203,Araranguá,J,0.0,-2.0,Sul
204,Araranguá,K,0.0,-2.0,Sul
205,Araranguá,L,3.0,2.0,Sul
206,Araranguá,M,-4.0,24.0,Sul
207,Araranguá,N,-18.0,12.0,Sul
208,Araranguá,P,2.0,14.0,Sul
209,Araranguá,Q,2.0,1.0,Sul
210,Araranguá,R,2.0,3.0,Sul
211,Araranguá,S,0.0,16.0,Sul
212,Armazém,A,0.0,-1.0,Litoral Sul
213,Armazém,C,-22.0,27.0,Litoral Sul
214,Armazém,F,3.0,-4.0,Litoral Sul
215,Armazém,G,-2.0,8.0,Litoral Sul
216,Armazém,H,0.0,4.0,Litoral Sul
217,Armazém,I,1.0,1.0,Litoral Sul
218,Armazém,J,1.0,-1.0,Litoral Sul
219,Armazém,K,,1.0,Litoral Sul
220,Armazém,M,-2.0,1.0,Litoral Sul
221,Armazém,P,-1.0,,Litoral Sul
222,Armazém,Q,,4.0,Litoral Sul
223,Armazém,R,,0.0,Litoral Sul
224,Armazém,S,,1.0,Litoral Sul
225,Arroio Trinta,A,-3.0,-1.0,Centro-Norte
226,Arroio Trinta,C,-15.0,6.0,Centro-Norte
227,Arroio Trinta,G,-4.0,3.0,Centro-Norte
228,Arroio Trinta,H,1.0,-1.0,Centro-Norte
229,Arroio Trinta,I,-1.0,1.0,Centro-Norte
230,Arroio Trinta,J,-1.0,0.0,Centro-Norte
231,Arroio Trinta,M,,1.0,Centro-Norte
232,Arroio Trinta,Q,-1.0,1.0,Centro-Norte
233,Arroio Trinta,R,,-3.0,Centro-Norte
234,Arvoredo,A,6.0,14.0,Alto Uruguai Catarinense
235,Arvoredo,C,-3.0,4.0,Alto Uruguai Catarinense
236,Arvoredo,F,,-1.0,Alto Uruguai Catarinense
237,Arvoredo,G,7.0,-1.0,Alto Uruguai Catarinense
238,Arvoredo,H,4.0,-1.0,Alto Uruguai Catarinense
239,Arvoredo,I,1.0,-1.0,Alto Uruguai Catarinense
240,Arvoredo,S,-2.0,-2.0,Alto Uruguai Catarinense
241,Ascurra,A,,1.0,Vale do Itajaí
242,Ascurra,C,-27.0,22.0,Vale do Itajaí
243,Ascurra,E,-3.0,8.0,Vale do Itajaí
244,Ascurra,F,2.0,-2.0,Vale do Itajaí
245,Ascurra,G,-14.0,-4.0,Vale do Itajaí
246,Ascurra,H,-1.0,-1.0,Vale do Itajaí
247,Ascurra,I,3.0,2.0,Vale do Itajaí
248,Ascurra,J,,0.0,Vale do Itajaí
249,Ascurra,K,,1.0,Vale do Itajaí
250,Ascurra,M,-1.0,0.0,Vale do Itajaí
251,Ascurra,N,,1.0,Vale do Itajaí
252,Ascurra,Q,-1.0,,Vale do Itajaí
253,Ascurra,S,-5.0,6.0,Vale do Itajaí
254,Atalanta,A,3.0,-1.0,Alto Vale do Itajaí
255,Atalanta,C,-3.0,10.0,Alto Vale do Itajaí
256,Atalanta,E,0.0,1.0,Alto Vale do Itajaí
257,Atalanta,G,-1.0,0.0,Alto Vale do Itajaí
258,Atalanta,H,,1.0,Alto Vale do Itajaí
259,Atalanta,M,,-1.0,Alto Vale do Itajaí
260,Atalanta,S,-1.0,,Alto Vale do Itajaí
261,Aurora,C,3.0,14.0,Alto Vale do Itajaí
262,Aurora,F,-1.0,-1.0,Alto Vale do Itajaí
263,Aurora,G,-1.0,-2.0,Alto Vale do Itajaí
264,Aurora,H,-10.0,-3.0,Alto Vale do Itajaí
265,Aurora,I,-1.0,-1.0,Alto Vale do Itajaí
266,Aurora,J,,1.0,Alto Vale do Itajaí
267,Aurora,N,2.0,-3.0,Alto Vale do Itajaí
268,Aurora,Q,1.0,,Alto Vale do Itajaí
269,Balneário Arroio do Silva,C,9.0,4.0,Sul
270,Balneário Arroio do Silva,E,1.0,,Sul
271,Balneário Arroio do Silva,F,2.0,-6.0,Sul
272,Balneário Arroio do Silva,G,8.0,0.0,Sul
273,Balneário Arroio do Silva,I,25.0,-11.0,Sul
274,Balneário Arroio do Silva,J,6.0,-2.0,Sul
275,Balneário Arroio do Silva,L,,0.0,Sul
276,Balneário Arroio do Silva,N,9.0,19.0,Sul
277,Balneário Arroio do Silva,P,,-1.0,Sul
278,Balneário Arroio do Silva,Q,1.0,,Sul
279,Balneário Arroio do Silva,R,,1.0,Sul
280,Balneário Arroio do Silva,S,,1.0,Sul
281,Balneário Barra do Sul,A,2.0,5.0,Norte-Nordeste
282,Balneário Barra do Sul,B,-1.0,,Norte-Nordeste
283,Balneário Barra do Sul,C,-3.0,-7.0,Norte-Nordeste
284,Balneário Barra do Sul,F,0.0,1.0,Norte-Nordeste
285,Balneário Barra do Sul,G,13.0,7.0,Norte-Nordeste
286,Balneário Barra do Sul,H,-1.0,7.0,Norte-Nordeste
287,Balneário Barra do Sul,I,4.0,4.0,Norte-Nordeste
288,Balneário Barra do Sul,N,-1.0,4.0,Norte-Nordeste
289,Balneário Barra do Sul,P,,0.0,Norte-Nordeste
290,Balneário Camboriú,C,-18.0,52.0,Foz do Rio Itajaí
291,Balneário Camboriú,E,-9.0,-1.0,Foz do Rio Itajaí
292,Balneário Camboriú,F,-214.0,157.0,Foz do Rio Itajaí
293,Balneário Camboriú,G,630.0,-244.0,Foz do Rio Itajaí
294,Balneário Camboriú,H,17.0,-25.0,Foz do Rio Itajaí
295,Balneário Camboriú,I,702.0,-157.0,Foz do Rio Itajaí
296,Balneário Camboriú,J,4.0,9.0,Foz do Rio Itajaí
297,Balneário Camboriú,K,-1.0,0.0,Foz do Rio Itajaí
298,Balneário Camboriú,L,-6.0,0.0,Foz do Rio Itajaí
299,Balneário Camboriú,M,-5.0,86.0,Foz do Rio Itajaí
300,Balneário Camboriú,N,148.0,-23.0,Foz do Rio Itajaí
301,Balneário Camboriú,O,-1.0,2.0,Foz do Rio Itajaí
302,Balneário Camboriú,P,-55.0,108.0,Foz do Rio Itajaí
303,Balneário Camboriú,Q,19.0,52.0,Foz do Rio Itajaí
304,Balneário Camboriú,R,5.0,33.0,Foz do Rio Itajaí
305,Balneário Camboriú,S,-3.0,6.0,Foz do Rio Itajaí
306,Balneário Gaivota,A,,1.0,Sul
307,Balneário Gaivota,B,1.0,,Sul
308,Balneário Gaivota,C,2.0,5.0,Sul
309,Balneário Gaivota,E,1.0,,Sul
310,Balneário Gaivota,F,-4.0,1.0,Sul
311,Balneário Gaivota,G,9.0,-1.0,Sul
312,Balneário Gaivota,H,0.0,0.0,Sul
313,Balneário Gaivota,I,1.0,-1.0,Sul
314,Balneário Gaivota,J,2.0,0.0,Sul
315,Balneário Gaivota,L,-1.0,2.0,Sul
316,Balneário Gaivota,N,10.0,-1.0,Sul
317,Balneário Gaivota,Q,2.0,,Sul
318,Balneário Piçarras,A,,-1.0,Foz do Rio Itajaí
319,Balneário Piçarras,C,-4.0,51.0,Foz do Rio Itajaí
320,Balneário Piçarras,E,11.0,-2.0,Foz do Rio Itajaí
321,Balneário Piçarras,F,-6.0,5.0,Foz do Rio Itajaí
322,Balneário Piçarras,G,61.0,16.0,Foz do Rio Itajaí
323,Balneário Piçarras,H,-2.0,2.0,Foz do Rio Itajaí
324,Balneário Piçarras,I,26.0,-1.0,Foz do Rio Itajaí
325,Balneário Piçarras,J,4.0,3.0,Foz do Rio Itajaí
326,Balneário Piçarras,K,-1.0,,Foz do Rio Itajaí
327,Balneário Piçarras,L,5.0,2.0,Foz do Rio Itajaí
328,Balneário Piçarras,M,0.0,4.0,Foz do Rio Itajaí
329,Balneário Piçarras,N,5.0,3.0,Foz do Rio Itajaí
330,Balneário Piçarras,P,-1.0,6.0,Foz do Rio Itajaí
331,Balneário Piçarras,Q,-1.0,7.0,Foz do Rio Itajaí
332,Balneário Piçarras,R,3.0,-1.0,Foz do Rio Itajaí
333,Balneário Piçarras,S,0.0,8.0,Foz do Rio Itajaí
334,Balneário Rincão,B,,4.0,Sul
335,Balneário Rincão,C,1.0,3.0,Sul
336,Balneário Rincão,E,,2.0,Sul
337,Balneário Rincão,F,0.0,-8.0,Sul
338,Balneário Rincão,G,35.0,-31.0,Sul
339,Balneário Rincão,H,0.0,1.0,Sul
340,Balneário Rincão,I,3.0,11.0,Sul
341,Balneário Rincão,J,1.0,,Sul
342,Balneário Rincão,K,,-1.0,Sul
343,Balneário Rincão,L,1.0,2.0,Sul
344,Balneário Rincão,M,,1.0,Sul
345,Balneário Rincão,N,10.0,-4.0,Sul
346,Balneário Rincão,P,,89.0,Sul
347,Balneário Rincão,S,,3.0,Sul
348,Bandeirante,C,2.0,7.0,Extremo Oeste
349,Bandeirante,F,-1.0,-1.0,Extremo Oeste
350,Bandeirante,G,1.0,0.0,Extremo Oeste
351,Bandeirante,H,,1.0,Extremo Oeste
352,Barra Bonita,A,-2.0,,Extremo Oeste
353,Barra Bonita,C,1.0,2.0,Extremo Oeste
354,Barra Bonita,F,,1.0,Extremo Oeste
355,Barra Bonita,G,1.0,-2.0,Extremo Oeste
356,Barra Bonita,M,,1.0,Extremo Oeste
357,Barra Velha,A,-1.0,-1.0,Vale do Itapocu
358,Barra Velha,B,,-1.0,Vale do Itapocu
359,Barra Velha,C,-13.0,55.0,Vale do Itapocu
360,Barra Velha,E,4.0,2.0,Vale do Itapocu
361,Barra Velha,F,-7.0,3.0,Vale do Itapocu
362,Barra Velha,G,16.0,-24.0,Vale do Itapocu
363,Barra Velha,H,-30.0,-34.0,Vale do Itapocu
364,Barra Velha,I,30.0,-19.0,Vale do Itapocu
365,Barra Velha,J,-1.0,0.0,Vale do Itapocu
366,Barra Velha,K,-1.0,-1.0,Vale do Itapocu
367,Barra Velha,L,,3.0,Vale do Itapocu
368,Barra Velha,M,-4.0,1.0,Vale do Itapocu
369,Barra Velha,N,2.0,8.0,Vale do Itapocu
370,Barra Velha,P,-2.0,7.0,Vale do Itapocu
371,Barra Velha,Q,-1.0,1.0,Vale do Itapocu
372,Barra Velha,R,,0.0,Vale do Itapocu
373,Barra Velha,S,-2.0,-2.0,Vale do Itapocu
374,Bela Vista do Toldo,A,,2.0,Centro-Norte
375,Bela Vista do Toldo,G,0.0,0.0,Centro-Norte
376,Bela Vista do Toldo,H,-1.0,2.0,Centro-Norte
377,Bela Vista do Toldo,I,1.0,,Centro-Norte
378,Belmonte,F,,-1.0,Extremo Oeste
379,Belmonte,G,-2.0,-1.0,Extremo Oeste
380,Belmonte,H,-2.0,3.0,Extremo Oeste
381,Benedito Novo,A,,-2.0,Vale do Itajaí
382,Benedito Novo,C,-42.0,72.0,Vale do Itajaí
383,Benedito Novo,E,-1.0,-1.0,Vale do Itajaí
384,Benedito Novo,F,1.0,-3.0,Vale do Itajaí
385,Benedito Novo,G,8.0,4.0,Vale do Itajaí
386,Benedito Novo,H,,0.0,Vale do Itajaí
387,Benedito Novo,I,1.0,,Vale do Itajaí
388,Benedito Novo,M,-1.0,1.0,Vale do Itajaí
389,Benedito Novo,N,,7.0,Vale do Itajaí
390,Benedito Novo,P,1.0,1.0,Vale do Itajaí
391,Benedito Novo,Q,1.0,-2.0,Vale do Itajaí
392,Biguaçu,A,,0.0,Sudeste
393,Biguaçu,B,-1.0,2.0,Sudeste
394,Biguaçu,C,-62.0,63.0,Sudeste
395,Biguaçu,D,1.0,4.0,Sudeste
396,Biguaçu,E,1.0,-1.0,Sudeste
397,Biguaçu,F,-42.0,154.0,Sudeste
398,Biguaçu,G,24.0,41.0,Sudeste
399,Biguaçu,H,-18.0,8.0,Sudeste
400,Biguaçu,I,3.0,-4.0,Sudeste
401,Biguaçu,J,-3.0,-5.0,Sudeste
402,Biguaçu,K,1.0,-2.0,Sudeste
403,Biguaçu,L,0.0,0.0,Sudeste
404,Biguaçu,M,0.0,8.0,Sudeste
405,Biguaçu,N,5.0,47.0,Sudeste
406,Biguaçu,P,-3.0,22.0,Sudeste
407,Biguaçu,Q,8.0,9.0,Sudeste
408,Biguaçu,R,2.0,-1.0,Sudeste
409,Biguaçu,S,7.0,17.0,Sudeste
