,Column1,Município,Setor,Porte,Empresas,Empregados,Unnamed: 5,Fonte dos dados: RAIS (2019),vice_presidencia
100,100,Anitápolis,SERVIÇOS,Micro,17,51,0,0,Sudeste
101,101,Anitápolis,SERVIÇOS,Pequena,2,36,0,0,Sudeste
102,102,Anitápolis,TRANSPORTE,Micro,3,4,0,0,Sudeste
103,103,Antônio Carlos,AGROPECUÁRIA,Micro,28,38,0,0,Sudeste
104,104,Antônio Carlos,COMÉRCIO,Micro,109,227,0,0,Sudeste
105,105,Antônio Carlos,COMÉRCIO,Pequena,6,146,0,0,Sudeste
106,106,Antônio Carlos,INDÚSTRIA,Grande,1,583,0,0,Sudeste
107,107,Antônio Carlos,INDÚSTRIA,Micro,66,261,0,0,Sudeste
108,108,Antônio Carlos,INDÚSTRIA,Pequena,5,165,0,0,Sudeste
109,109,Antônio Carlos,SERVIÇOS,Grande,1,304,0,0,Sudeste
110,110,Antônio Carlos,SERVIÇOS,Micro,82,161,0,0,Sudeste
111,111,Antônio Carlos,SERVIÇOS,Pequena,6,103,0,0,Sudeste
112,112,Antônio Carlos,TRANSPORTE,Grande,1,144,0,0,Sudeste
113,113,Antônio Carlos,TRANSPORTE,Micro,15,35,0,0,Sudeste
114,114,Antônio Carlos,TRANSPORTE,Pequena,3,42,0,0,Sudeste
115,115,Apiúna,AGROPECUÁRIA,Micro,13,30,0,0,Vale do Itajaí
116,116,Apiúna,COMÉRCIO,Micro,65,109,0,0,Vale do Itajaí
117,117,Apiúna,COMÉRCIO,Pequena,7,202,0,0,Vale do Itajaí
118,118,Apiúna,INDÚSTRIA,Grande,1,693,0,0,Vale do Itajaí
119,119,Apiúna,INDÚSTRIA,Micro,97,349,0,0,Vale do Itajaí
120,120,Apiúna,INDÚSTRIA,Média,1,148,0,0,Vale do Itajaí
121,121,Apiúna,INDÚSTRIA,Pequena,15,324,0,0,Vale do Itajaí
122,122,Apiúna,SERVIÇOS,Grande,1,433,0,0,Vale do Itajaí
123,123,Apiúna,SERVIÇOS,Micro,56,103,0,0,Vale do Itajaí
124,124,Apiúna,SERVIÇOS,Pequena,9,181,0,0,Vale do Itajaí
125,125,Apiúna,TRANSPORTE,Micro,11,49,0,0,Vale do Itajaí
126,126,Apiúna,TRANSPORTE,Pequena,1,19,0,0,Vale do Itajaí
127,127,Arabutã,AGROPECUÁRIA,Micro,8,8,0,0,Alto Uruguai Catarinense
128,128,Arabutã,AGROPECUÁRIA,Pequena,1,25,0,0,Alto Uruguai Catarinense
129,129,Arabutã,COMÉRCIO,Micro,32,44,0,0,Alto Uruguai Catarinense
130,130,Arabutã,COMÉRCIO,Pequena,1,14,0,0,Alto Uruguai Catarinense
131,131,Arabutã,INDÚSTRIA,Micro,18,67,0,0,Alto Uruguai Catarinense
132,132,Arabutã,INDÚSTRIA,Média,1,144,0,0,Alto Uruguai Catarinense
133,133,Arabutã,INDÚSTRIA,Pequena,2,93,0,0,Alto Uruguai Catarinense
134,134,Arabutã,SERVIÇOS,Grande,1,186,0,0,Alto Uruguai Catarinense
135,135,Arabutã,SERVIÇOS,Micro,25,42,0,0,Alto Uruguai Catarinense
136,136,Arabutã,SERVIÇOS,Pequena,1,18,0,0,Alto Uruguai Catarinense
137,137,Arabutã,TRANSPORTE,Micro,17,30,0,0,Alto Uruguai Catarinense
138,138,Arabutã,TRANSPORTE,Pequena,1,10,0,0,Alto Uruguai Catarinense
139,139,Araquari,AGROPECUÁRIA,Micro,17,35,0,0,Norte-Nordeste
140,140,Araquari,AGROPECUÁRIA,Média,1,62,0,0,Norte-Nordeste
141,141,Araquari,AGROPECUÁRIA,Pequena,3,42,0,0,Norte-Nordeste
142,142,Araquari,COMÉRCIO,Micro,340,590,0,0,Norte-Nordeste
143,143,Araquari,COMÉRCIO,Média,5,349,0,0,Norte-Nordeste
144,144,Araquari,COMÉRCIO,Pequena,40,835,0,0,Norte-Nordeste
145,145,Araquari,INDÚSTRIA,Grande,3,1972,0,0,Norte-Nordeste
146,146,Araquari,INDÚSTRIA,Micro,474,1803,0,0,Norte-Nordeste
147,147,Araquari,INDÚSTRIA,Média,8,2328,0,0,Norte-Nordeste
148,148,Araquari,INDÚSTRIA,Pequena,60,2627,0,0,Norte-Nordeste
149,149,Araquari,SERVIÇOS,Grande,5,1750,0,0,Norte-Nordeste
150,150,Araquari,SERVIÇOS,Micro,169,350,0,0,Norte-Nordeste
151,151,Araquari,SERVIÇOS,Média,1,55,0,0,Norte-Nordeste
152,152,Araquari,SERVIÇOS,Pequena,29,450,0,0,Norte-Nordeste
153,153,Araquari,TRANSPORTE,Grande,1,168,0,0,Norte-Nordeste
154,154,Araquari,TRANSPORTE,Micro,121,104,0,0,Norte-Nordeste
155,155,Araquari,TRANSPORTE,Média,2,215,0,0,Norte-Nordeste
156,156,Araquari,TRANSPORTE,Pequena,19,275,0,0,Norte-Nordeste
157,157,Araranguá,AGROPECUÁRIA,Micro,35,46,0,0,Sul
158,158,Araranguá,AGROPECUÁRIA,Média,1,101,0,0,Sul
159,159,Araranguá,AGROPECUÁRIA,Pequena,4,54,0,0,Sul
160,160,Araranguá,COMÉRCIO,Grande,6,1246,0,0,Sul
161,161,Araranguá,COMÉRCIO,Micro,893,1078,0,0,Sul
162,162,Araranguá,COMÉRCIO,Média,1,125,0,0,Sul
163,163,Araranguá,COMÉRCIO,Pequena,95,1648,0,0,Sul
164,164,Araranguá,INDÚSTRIA,Micro,551,1509,0,0,Sul
165,165,Araranguá,INDÚSTRIA,Média,2,561,0,0,Sul
166,166,Araranguá,INDÚSTRIA,Pequena,29,956,0,0,Sul
167,167,Araranguá,SERVIÇOS,Grande,4,1793,0,0,Sul
168,168,Araranguá,SERVIÇOS,Micro,704,926,0,0,Sul
169,169,Araranguá,SERVIÇOS,Média,3,261,0,0,Sul
170,170,Araranguá,SERVIÇOS,Pequena,70,1217,0,0,Sul
171,171,Araranguá,TRANSPORTE,Grande,3,698,0,0,Sul
172,172,Araranguá,TRANSPORTE,Micro,96,68,0,0,Sul
173,173,Araranguá,TRANSPORTE,Pequena,15,204,0,0,Sul
174,174,Armazém,AGROPECUÁRIA,Micro,27,50,0,0,Litoral Sul
175,175,Armazém,AGROPECUÁRIA,Pequena,2,11,0,0,Litoral Sul
176,176,Armazém,COMÉRCIO,Micro,89,173,0,0,Litoral Sul
177,177,Armazém,COMÉRCIO,Pequena,6,115,0,0,Litoral Sul
178,178,Armazém,INDÚSTRIA,Micro,101,482,0,0,Litoral Sul
179,179,Armazém,INDÚSTRIA,Média,1,143,0,0,Litoral Sul
180,180,Armazém,INDÚSTRIA,Pequena,13,642,0,0,Litoral Sul
181,181,Armazém,SERVIÇOS,Grande,1,280,0,0,Litoral Sul
182,182,Armazém,SERVIÇOS,Micro,52,120,0,0,Litoral Sul
183,183,Armazém,SERVIÇOS,Pequena,3,78,0,0,Litoral Sul
184,184,Armazém,TRANSPORTE,Micro,52,63,0,0,Litoral Sul
185,185,Armazém,TRANSPORTE,Pequena,3,25,0,0,Litoral Sul
186,186,Arroio Trinta,AGROPECUÁRIA,Micro,10,9,0,0,Centro-Norte
