,Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018),vice_presidencia
73,Coronel Martins,R$ 50009000,19657.6257861635,2544,Oeste
74,Correia Pinto,R$ 578598000,44371.0122699386,13040,Serra Catarinense
75,Corupá,R$ 442370000,28160.2902794576,15709,Vale do Itapocu
76,Criciúma,R$ 7684445000,36073.3113325791,213023,Sul
77,Cunha Porã,R$ 534164000,48327.5128924274,11053,Oeste
78,Cunhataí,R$ 51350000,26239.1415431783,1957,Oeste
79,Curitibanos,R$ 1425005000,35989.5188786463,39595,Centro-Norte
80,Descanso,R$ 216847000,26100.9870004815,8308,Extremo Oeste
81,Dionísio Cerqueira,R$ 394623000,25541.9417475728,15450,Extremo Oeste
82,Dona Emma,R$ 114414000,27871.8635809988,4105,Alto Vale do Itajaí
83,Doutor Pedrinho,R$ 114121000,28437.8270620483,4013,Vale do Itajaí
84,Entre Rios,R$ 47981000,15045.7823769207,3189,Oeste
85,Ermo,R$ 84008000,40662.1490803485,2066,Sul
86,Erval Velho,R$ 140080000,31785.7953256183,4407,Centro-Oeste
87,Faxinal dos Guedes,R$ 440650000,41236.1968931312,10686,Oeste
88,Flor do Sertão,R$ 40693000,25657.6292559899,1586,Oeste
89,Florianópolis,R$ 21059561000,42719.1552547076,492977,Sudeste
90,Formosa do Sul,R$ 55334000,21914.4554455446,2525,Oeste
91,Forquilhinha,R$ 850667000,32261.3395024272,26368,Sul
92,Fraiburgo,R$ 925584000,25498.8842667842,36299,Centro-Norte
93,Frei Rogério,R$ 49315000,23743.3798748194,2077,Centro-Norte
94,Galvão,R$ 75573000,25565.9675236807,2956,Oeste
95,Garopaba,R$ 584883000,25916.4746543779,22568,Sudeste
96,Garuva,R$ 1071261000,60183.202247191,17800,Norte-Nordeste
97,Gaspar,R$ 2977369000,43487.4607463668,68465,Vale do Itajaí
98,Governador Celso Ramos,R$ 316537000,22084.4903369846,14333,Sudeste
99,Grão Pará,R$ 218836000,33450.9324365637,6542,Litoral Sul
100,Gravatal,R$ 240759000,21076.6873851002,11423,Litoral Sul
101,Guabiruba,R$ 977305000,41994.886558955,23272,Vale do Itajaí Mirim
102,Guaraciaba,R$ 346573000,34131.6722473902,10154,Extremo Oeste
